_unit_id,query,source,product_description
711158459,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711158460,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711158461,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711158464,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711158466,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711158468,playstation 4,amazon,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on amazon guides.</br>"
711160467,plantronics corded headset,amazon,"Optimized for PC music and calling - it s the lightweight .Audio 326. This flexible headset, with an adjustable and noise-canceling microphone, is perfect for Skype and other Internet calls as well as listening to music, video games and more."
711160469,plantronics corded headset,amazon,UHY1043: Features: -Earpiece Type: Soft Ear Cushions.-Microphone: Noise Canceling.-Earpiece Material: Foam.-Connecting Types: Headphone Jack.-For Use With: Corded Telephones.-Global Product Type: Headsets-Monaural.-Post-Consumer Recycled Content Percent : 0 pct.-Headset Type: Monaural.-Headset Style: Over The Head.-Pre-Consumer Recycled Content Percent : 0 pct.-Total Recycled Content Percent : 0 pct. Color/Finish: -Color(s): Gray.
711160472,plantronics corded headset,amazon,"Convertible headset with amplifier connects to single-line or multiline telephones. Noise canceling headset is convertible. Use as a traditional over-the-head headset or as an over-the-ear headset. Headset includes a Firefly in-use indicator, headset stand, volume control, tone control and mute."
711160957,crocs,amazon,"This professional salon styling iron straightens, flips and curls to create silky-smooth hair with a static-free sheen. With a comfortable ergonomic design, superb conduction of heat, quick heating and cooling this ionic flat iron is a must-have."
711160958,crocs,amazon,"The TurboIon Croc dryer not only dries your hair but actively repairs the hair by emitting negative ions. With a continuous stream of over 3 million negative ions, this hair dryer helps to purify and repair the hair."
711160959,crocs,amazon,Update classic style with modern comfort in the Crocs Cobbler Leather Clogs. These clogs feature a suede upper with stitch detailing and soft furry lining. The chunky heel adds modest height. The Croslite outsole with rubber pods lends great traction and lasting wear.
711160961,crocs,amazon,"With a removable shoulder strap, flat bottom and rolled, stitched handles, this bag will give you style and carrying options. The exterior of this bag features supple croc-embossed faux leather and a trendy framed top."
711160963,crocs,amazon,"The tote gets a luxurious upgrade with this cut-out handle design and croc-textured faux leather. Keep your items organized in two separate interior compartments, divided by a deep center divider zip top closure pocket."
711160988,yellow dress,amazon,"""Our take on the timeless- iconic design, this 'Summer dress is ready for wherever the day takes you. Â_ Bell sleeves add effortless polish. Designed in a sleek and stretchy knit that holds you in and accentuates every curve."
711160990,Levis,amazon,"With a soft-washed twill construction, these 514 jeans by Levi's give you a laid-back and comfortable style. These jeans feature a slim-straight fit at the legs and sit below the waist."
711160991,Levis,amazon,"The Perfect Waist 525 jeans by Levi's feature a no-gap waistband and a tummy-slimming waistband that flexes to fit your waist comfortably. Straight legs highlight this classic pair, designed with a five-pocket construction and tone-on-tone logo stitching on each back pocket."
711160992,Levis,amazon,"Turn some heads in these 515 blue jeans, designed with a classic five-pocket construction and Levi's signature logo stitching on each pocket. Boot-cut legs and a mid-rise fit define these everyday jeans."
711160993,Levis,amazon,"These twill jeans by Levis are very versatile, designed with their iconic 505 regular fit. In neutral grey, these five-pocket jeans are crafted of 100-percent cotton for easy wear and care."
711161063,Rechargable batteries,amazon,"Medcell Advantage Alkaline Batteries are designed to provide superior performance in medical, high-tech devices such as pagers, blood glucose moitors, pulse oximeters, blood pressure monitors and telemetry units. Ongoing battery testing, together with research and development, has brought about mercury-free alkaline battery for professional applications. These batteries are packaged for professional uses."
711161064,Rechargable batteries,amazon,"These Streamlight Lithium Batteries come in size CR123A (3-volt) and come in a pack of 12. Lithium batteries can power devices longer, such as digital cameras, flashlights, and portable electronics."
711161065,coffee grinder,amazon,"Grind your coffee beans to the perfect texture with this supreme-grind automatic bur mill by Cuisinart. With a removable grind chamber for easy cleaning, this durable grinder is designed to preserve your beans' natural oils through a uniform grind."
711161066,coffee grinder,amazon,Make a fresher-tasting cup of coffee by grinding your own beans with this Hamilton Beach coffee grinder. This electric grinder has a large 12-cup capacity and features a see-through lid and measurement markings for ease of use.
711161067,coffee grinder,amazon,This one-touch coffee grinder is all you will need to grind up your fresh beans right in your own kitchen and have that perfect cup every time. The large capacity allows you to quickly grind plenty of coffee all at once.
711161068,coffee grinder,amazon,"This NESCO grinder delivers a consistently even grind and lower heat generation to ensure the maximum flavor retention of your coffee. Select from 17 different grind settings from espresso to french press, and start your day right."
711161069,coffee grinder,amazon,"The Cuisinart CBM-18 Burr Coffee Grinder is programmable so you always get the perfect cup. With a large-capacity hopper and airtight lid, you'll spend less time filling and more time enjoying fresh coffee."
711161272,rain boot,amazon,"These light-up rain boots by Western Chief are sure to make a splash! A lighted outsole, whimsical print and functional pull handles guarantee that your little one will be wearing these rain or shine!."
711161273,rain boot,amazon,"Rain Rain, go away"", you won't be singing this song anymore once you have the Hurricane. When it comes to this design you'll be eager to jump in puddles in these durable, water resistant rain boots. Friendly side-note: Nomad rain boots are water resistant not waterproof and are not intended for extreme weather conditions."
711161275,rain boot,amazon,"These light-up rain boots by Western Chief are sure to make a splash! A lighted outsole, whimsical print and functional pull handles guarantee that your little one will be wearing these rain or shine!."
711161276,aroma diffuser,amazon,"A frosty glass encasing on a wooden foundation, this essential oil diffuser takes a twist on the classic aroma diffuser by adding steam, changing lights, and music. Multiple setting options including timers, music compatibility (via audio cable, smartphones, music devices) and mist that carries the scents of any essential oil of your choice."
711161277,aroma diffuser,amazon,"This warm-mist humidifier provides soothing warm moisture to help relieve dry coughs, sinus irritations and itching eyes. Add your own essential oil in the diffuser to aid in therapeutic activities. This easy-to-fill 2.5-liter water tank will provide up to eight hours of moisture."
711161278,aroma diffuser,amazon,"Artfully made of ceramic, the Galaxy is inspired by the mysterious beauty of outer space. This diffuser is designed with decorative holes surrounding the product, just like the bright stars in the night sky or the deep craters on a distant moon. As the diffuser softly releases luxurious aromas and moisturized air from the top of the product, LED lights illuminate the galaxy like all the stars in the sky."
711161368,headphones earbuds,amazon,"The epitome of a functional hybrid, our innovative ATH-CHX7 headphones were uniquely designed to nestle in the ear without actually entering your ear canal - making them the perfect choice for those who love the portability (but don't love the feeling) of conventional in-ear headphones."
711161369,headphones earbuds,amazon,"The epitome of a functional hybrid, our innovative ATH-CHX5 headphones were uniquely designed to nestle in the ear without actually entering your ear canal - making them the perfect choice for those who love the portability (but don't love the feeling) of conventional in-ear headphones."
711161371,cowboy boots,amazon,"Strut in Western-inspired style with these mid-calf boots from Fashion Focus. These leatherette boots are designed with a low block heel, a round toecap, and studded details all along the shaft."
711161372,cowboy boots,amazon,These women's Durango cowboy boots are the perfect accessory for a country-style ensemble. A classic all-leather upper and cowgirl heel give you lots of options for dressing these boots up or down. Cushioned insoles make them comfortable to wear.
711161373,cowboy boots,amazon,"Disfruta al mÃ¡ximo con estas elegantes botas vaqueras ""Wild"" de Refresh. Estas botas vaqueras en color tostado lucen elegantes costuras, un aro redondo y correas con hebilla, ademÃ¡s de la correa con aros dobles en los costados. These Refresh cowgirl boots are constructed of faux leather, and they feature a rounded toe and padded footbed for your comfort. These medium-width, mid-calf boots have a low two-inch-high block heel with a 12-inch shaft and a 13-inch circumference that allows them to sit comfortably on your calves during wear."
711161374,cowboy boots,amazon,"Bring a touch of country charm to your outfit with these western style boots. Featuring a stylish faux leather upper with gold-tone embroidery and white patches, these knee-high boots are stunning and comfortable to wear."
711161375,cowboy boots,amazon,"These womens Durango black leather western boots will bring out the inner cowboy in anyone. Featuring a western-inspired etching detail, pull-tabs at the top of each shaft, and a cushioned insole, these boots are fun and comfortable."
711161478,wireless mouse,amazon,"Wireless mouse delivers the perfect mix of performance and precision with a micro-precise scroll wheel; comfortable, compact shape and three full years of battery life. Innovative, micro-precise wheel packs more grooves per millimeter for the ultimate navigation experience and makes scrolling through long web pages faster and easier. Plus, the built-in tilt wheel lets you move backward and forward on the Web. Advanced optical tracking delivers laser-grade precision over the most challenging surfaces including smooth, glossy surfaces (except glass) that are problematic for standard optical mice. Ergonomic design and soft rubber grips conform to your hand to be naturally comfortable. Compact size makes it easy to take with you wherever you use your computer. Tiny, unifying nano-receiver connects up to six compatible devices and uses advanced 2.4 GHz wireless. To help prolong battery life, the Smart sleep mode and an On/Off switch save power while an indicator light eliminates surprises."
711161479,wireless mouse,amazon,"The HP Comfort Grip Wireless Mouse features a 30-month battery life and a bold, modern design that integrates seamlessly with HP Business Notebooks."
711161480,wireless mouse,amazon,"Wireless mouse delivers a better mix of precision and comfort with designed-for-web scrolling. With advanced optical tracking, micro-precise scrolling makes reading your Facebook, googleping online or scrolling through Google searches easier. Plus, tilting the wheel moves you backward or forward on the Web. Designed to improve your online experience, the wheel also helps perfect scrolling when you're using other applications, such as Microsoft Office or Adobe PDF. Wireless Mouse M325 features a contoured shape and textured rubber grips. With up to 18 months of battery life, it virtually eliminates the hassle of changing batteries. Smart sleep mode saves power while an indicator light eliminates surprises. Tiny, unifying nano-receiver stays in your laptop and gives you a reliable connection using advanced 2.4 GHz wireless technology with virtually no delays or dropouts. The accommodating design lets you easily add up to five more compatible wireless devices to the same receiver."
711161481,wireless mouse,amazon,"Wireless mouse delivers a better mix of precision and comfort with designed-for-web scrolling. With advanced optical tracking, micro-precise scrolling makes reading your Facebook, googleping online or scrolling through Google searches easier. Plus, tilting the wheel moves you backward or forward on the Web. Designed to improve your online experience, the wheel also helps perfect scrolling when you're using other applications, such as Microsoft Office or Adobe PDF. Wireless Mouse M325 features a contoured shape and textured rubber grips. With up to 18 months of battery life, it virtually eliminates the hassle of changing batteries. Smart sleep mode saves power while an indicator light eliminates surprises. Tiny, unifying nano-receiver stays in your laptop and gives you a reliable connection using advanced 2.4 GHz wireless technology with virtually no delays or dropouts. The accommodating design lets you easily add up to five more compatible wireless devices to the same receiver."
711161485,nike shoes,amazon,"Unleash the full power of your swing with Nike technology, delivering incredible flexibility from the ground up. With ultra-breathable materials, makes this golf shoe comfortable and a perfect tool while hitting the links."
711161486,nike shoes,amazon,"Step up your golf game these Nike Air Men's Range WP Golf Shoes. These golf shoes feature a full-length sock liner for added comfort while on the course, a visible Nike Air unit and integrated, non-replaceable spikeless bottoms."
